country,cluster_id,pca1,pca2,pca3,pca4,pca5,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,education_actor_centrality_index,governance_density_index
Russia,0,3.757729858428016,-0.04328524632014306,1.872228637981209,-1.4915174426957423,0.11680792043839383,1.6493896780964243,-0.36244235494743204,0.8196243433233358,0.5415845848845892,-0.4547050875665222
Sweden,1,-0.32405644654881743,1.5320140715456223,-0.9470355412180586,0.004150642139848281,-1.7906418542324345,-0.5140787271921019,-1.2687083418256435,0.17184291759117237,0.47974344521640305,-0.5133454760939549
Ukraine,3,0.8949481648223598,1.0903709316523833,-0.0826889617337842,1.267579190751701,-0.9383878168193521,0.16707700520101335,-1.2798509564184088,0.35040387868018075,0.13898594637138761,0.10574486793859937
Costa Rica,3,0.7379069515659451,-2.3851999240973063,0.7348326197164262,0.2862989406538764,-1.110903605541944,0.5285725626858834,0.21063760734320167,0.027440775119512373,0.26466855908918124,-0.23527751753004655
World Economic Forum,1,0.11475632211734595,2.5395370510349493,-0.13807717384383145,-0.16498127562538603,-0.2554222200623032,-0.1899373162844592,-0.5299045481749279,0.7068990617014144,-0.12285990875315556,-0.3742125634617172
Global Partnership on Artificial Intelligence,2,-3.2436540380191867,-1.9126286175539757,0.48367013741415743,0.20622823746006858,-0.1008813053952122,-0.8122888252271332,1.7219694148724543,-0.845171971039518,-1.0956335256812109,-0.5384085268355099
Slovenia,2,-3.028369281941062,0.5819988679145157,1.99187360102133,-1.3975508484240793,1.8532987732576247,,1.6200144913486554,-1.0118324587815146,0.1473549848379706,-0.5636694442776318
Tunisia,3,1.1637115286740216,0.9198994766227334,-2.745198001621691,-0.9613895382268028,-2.92975813032355,0.039740026301527565,-1.9484078319843021,0.37468738937790014,-0.2965694832045943,-0.5762999029986927
Switzerland,0,2.4625944801165907,-0.6944831618705979,2.4650409824326855,0.17301188974570628,0.5025605431591951,1.7813671221947942,-0.37987054700278244,-0.22171638018644718,0.43722913579799944,0.2551181843999269
Egypt,3,-1.8378147703804963,-0.8244094592187263,-0.6905220048225256,0.7293607425855143,-1.0893282292811248,-0.6677021110283301,0.2760632267167622,-0.5403484224689162,0.2541659240189691,-0.09342883536014175
