country,n_docs,n_statements,n_norm,other_low_confidence,n_rule,n_strategy,pct_a_explicit,pct_a_inferred,pct_a_conjoined,mean_c_count,pct_b_found,pct_o_local_present,pct_i_conjoined,pct_a_raw_present,pct_b_text_present,pct_c_text_present,pct_edu_actor_A,pct_edu_domain,dclass_obligation,dclass_permission,dclass_prohibition,statements_per_doc,n_strategy_share,n_norm_share,n_rule_share,rule_to_norm_ratio,rule_to_strategy_ratio,n_strong_deontic,strong_deontic_share
Denmark,7,78,26,3,1,48,0.8846153846153846,0.0,0.14102564102564102,0.3717948717948718,0.32051282051282054,0.01282051282051282,0.1282051282051282,0.8846153846153846,0.32051282051282054,0.3076923076923077,0.0641025641025641,0.8846153846153846,17.0,13.0,0.0,11.142857142857142,0.6153846153846154,0.3333333333333333,0.01282051282051282,0.038461538461538464,0.020833333333333332,17.0,0.21794871794871795
Peru,7,77,34,4,0,39,0.7532467532467533,0.0,0.16883116883116883,0.44155844155844154,0.6233766233766234,0.012987012987012988,0.18181818181818182,0.7532467532467533,0.6233766233766234,0.3116883116883117,0.025974025974025976,0.7142857142857143,17.0,20.0,1.0,11.0,0.5064935064935064,0.44155844155844154,0.0,0.0,0.0,18.0,0.23376623376623376
Netherlands,7,48,15,0,0,33,0.9791666666666666,0.0,0.2916666666666667,0.8125,0.3541666666666667,0.0,0.08333333333333333,0.9791666666666666,0.3541666666666667,0.5625,0.0625,0.8541666666666666,4.0,11.0,0.0,6.857142857142857,0.6875,0.3125,0.0,0.0,0.0,4.0,0.08333333333333333
Czech Republic,6,148,50,4,1,93,0.7972972972972973,0.0,0.1891891891891892,0.33783783783783783,0.2972972972972973,0.02027027027027027,0.24324324324324326,0.7972972972972973,0.2972972972972973,0.2702702702702703,0.033783783783783786,0.8513513513513513,22.0,26.0,7.0,24.666666666666668,0.6283783783783784,0.33783783783783783,0.006756756756756757,0.02,0.010752688172043012,29.0,0.19594594594594594
Finland,6,82,41,5,1,35,0.8658536585365854,0.0,0.13414634146341464,0.45121951219512196,0.5853658536585366,0.012195121951219513,0.13414634146341464,0.8658536585365854,0.5853658536585366,0.4024390243902439,0.024390243902439025,0.9512195121951219,28.0,18.0,1.0,13.666666666666666,0.4268292682926829,0.5,0.012195121951219513,0.024390243902439025,0.02857142857142857,29.0,0.35365853658536583
Estonia,6,35,14,0,0,21,0.7428571428571429,0.0,0.11428571428571428,0.42857142857142855,0.37142857142857144,0.0,0.2,0.7428571428571429,0.37142857142857144,0.34285714285714286,0.0,0.8571428571428571,6.0,7.0,1.0,5.833333333333333,0.6,0.4,0.0,0.0,0.0,7.0,0.2
Thailand,5,102,72,9,2,19,0.7843137254901961,0.0,0.27450980392156865,0.3137254901960784,0.3431372549019608,0.0196078431372549,0.17647058823529413,0.7843137254901961,0.3431372549019608,0.28431372549019607,0.0196078431372549,0.9313725490196079,58.0,24.0,1.0,20.4,0.18627450980392157,0.7058823529411765,0.0196078431372549,0.027777777777777776,0.10526315789473684,59.0,0.5784313725490197
Argentina,5,76,25,5,3,43,0.8421052631578947,0.0,0.23684210526315788,0.32894736842105265,0.4605263157894737,0.09210526315789473,0.3157894736842105,0.8421052631578947,0.4605263157894737,0.3157894736842105,0.07894736842105263,0.7105263157894737,13.0,19.0,1.0,15.2,0.5657894736842105,0.32894736842105265,0.039473684210526314,0.12,0.06976744186046512,14.0,0.18421052631578946
Romania,5,66,6,0,1,59,0.6060606060606061,0.0,0.16666666666666666,0.4090909090909091,0.25757575757575757,0.045454545454545456,0.19696969696969696,0.6060606060606061,0.25757575757575757,0.3484848484848485,0.06060606060606061,0.9393939393939394,0.0,7.0,0.0,13.2,0.8939393939393939,0.09090909090909091,0.015151515151515152,0.16666666666666666,0.01694915254237288,0.0,0.0
Latvia,5,52,19,1,0,32,0.7884615384615384,0.0,0.1346153846153846,0.46153846153846156,0.5192307692307693,0.019230769230769232,0.1346153846153846,0.7884615384615384,0.5192307692307693,0.3269230769230769,0.21153846153846154,0.75,10.0,9.0,1.0,10.4,0.6153846153846154,0.36538461538461536,0.0,0.0,0.0,11.0,0.21153846153846154
