doc_id,doc_char_count,n_chunks
2d709454dc8ae35d,164483,117
2dc05a812a090e7f,27270,56
2dc9ba714855a96c,8019,4
2dce0059c74438bf,3257,2
2de9606a64c45d2d,58812,43
2e020d8fa65b7349,139233,58
2f445129a458cf57,11424,9
2f523ea54995c80a,14607,6
2f70e1b1b50ab7fd,5553,3
2f873685559b79f9,251476,101
3053b662d5e92c6f,4182,2
31a9ce92a6225756,6961,7
3226705d55a1a145,67422,28
32451b824740575c,7938,4
32a121a3353f8626,0,0
33049643637ebaab,62483,25
333c1e5ffec05532,254218,134
334b4764a67e185a,5202,3
3376db4b7bdadb57,69312,28
33c8f35a7cc7efa3,6458,3
33e3505ff7edd9fa,4347,2
33ef25a38c1c14de,190811,94
345d09e99d899618,1666,2
346c5704b0a45302,18021,10
34a93f801f35b6ef,124073,53
359a1d413079e468,16506,7
361c5400c7b7c17d,21051,9
36bbd3306c45320f,190545,83
36c170bacd333c6a,60735,25
36e2ee3035d0b9e4,3352,2
36ef7ba6d5f81c43,3549,2
3712e3e3a67c986e,181543,73
3791e3be1e7126ab,23352,10
37ffcbad19bd2c89,27824,12
381272dfa3b7a098,92106,40
3814dbfed83cf9e8,2524,1
3821c3748b54a493,249261,100
382eb1f1dd68fb79,8235,5
38c18cdd1e651705,169833,94
38cbb47d29bb7f8b,5401,3
38d64a1b27467a89,154412,65
3979a3995c6c2d0d,9186,4
39a18d318dba4f07,38424,99
3a17a5d1e1be54e7,0,0
3a3512dd95a729f0,31336,13
3a4efbf296e27ce8,295493,119
3a71b99f039afdd5,503105,667
3a74f7ba3631f915,38261,16
3aa6afc3d8660193,5633,3
3ac51f4f6859ca02,7672,6
3ad38f55beee704c,8332,4
3b1348793a6efeb9,4488,2
3b4370fb319fe8be,2707,3
3b66e0d6c7c83cf5,68654,28
3b85446a97736157,10079,4
3bd1094e427744b9,8156,4
3c70f930d35f5996,12721,9
3cd37a1abeb13704,106359,43
3d0e31c34a0a6db7,173990,71
3d9cb9a62ecf436c,45346,23
3da558c782fcbb46,69483,31
3df91a69335e2cd9,5524,4
3e89ada0c7bdaf1e,23905,10
3edaa643bb0617d2,167777,68
40251bf83094cda0,5437,3
40277836e28102b8,23720,23
409116d752b75c1d,51828,31
413b84e351eed939,37619,15
4161df772b2341d8,136461,56
418b89db527d6555,31721,13
4198e964131efa36,11475,17
42863bc8365106a3,41840,25
42ed0c802b37f56d,12962,34
430a3b7fd44ceb9c,10520,5
43e21e5c4ebf74eb,26107,14
4405d2381476db3f,211365,97
443da0a74e1a0019,67320,45
4445ade5091a3520,6969,8
44b536182a0ee873,4428,2
450fbb7288935c3c,195972,79
45a9e0cb3a3133eb,103632,88
45b7e0f3c3aa58fe,5863,8
45fd17484ed8dce6,7731,10
46033496f2c86cc0,3774,2
465df9cf10df6536,8781,7
46d099ab5b6eac37,77558,34
474922b33f380e4d,3417,2
478e898cd358f032,186323,75
47a8744db52cc8d7,110541,54
48da4f5276e80b80,4827,2
492b24b568776978,68484,28
493bb9f914260f5e,3939,3
496b4d3536f2fa86,5411,3
4995391ac1fbfdb3,371159,157
49abb961e8f748ed,16235,7
4a0e255c28d74a1b,65955,31
4a35fd597a1c0e97,132419,58
