row,doc_id,chunk_id
350,03807803a9187364,03807803a9187364_00047
351,03807803a9187364,03807803a9187364_00048
352,03807803a9187364,03807803a9187364_00049
353,03807803a9187364,03807803a9187364_00050
354,03807803a9187364,03807803a9187364_00051
355,03807803a9187364,03807803a9187364_00052
356,03807803a9187364,03807803a9187364_00053
357,03807803a9187364,03807803a9187364_00054
358,03807803a9187364,03807803a9187364_00055
359,03807803a9187364,03807803a9187364_00056
360,03807803a9187364,03807803a9187364_00057
361,03807803a9187364,03807803a9187364_00058
362,03807803a9187364,03807803a9187364_00059
363,03807803a9187364,03807803a9187364_00060
364,03807803a9187364,03807803a9187364_00061
365,03807803a9187364,03807803a9187364_00062
366,03807803a9187364,03807803a9187364_00063
367,03807803a9187364,03807803a9187364_00064
368,03807803a9187364,03807803a9187364_00065
369,03807803a9187364,03807803a9187364_00066
370,03807803a9187364,03807803a9187364_00067
371,03807803a9187364,03807803a9187364_00068
372,03807803a9187364,03807803a9187364_00069
373,03807803a9187364,03807803a9187364_00070
374,03807803a9187364,03807803a9187364_00071
375,03807803a9187364,03807803a9187364_00072
376,03807803a9187364,03807803a9187364_00073
377,03807803a9187364,03807803a9187364_00074
378,03807803a9187364,03807803a9187364_00075
379,03807803a9187364,03807803a9187364_00076
380,03807803a9187364,03807803a9187364_00077
381,03807803a9187364,03807803a9187364_00078
382,03807803a9187364,03807803a9187364_00079
383,03807803a9187364,03807803a9187364_00080
384,03807803a9187364,03807803a9187364_00081
385,03807803a9187364,03807803a9187364_00082
386,03807803a9187364,03807803a9187364_00083
387,03807803a9187364,03807803a9187364_00084
388,03807803a9187364,03807803a9187364_00085
389,03807803a9187364,03807803a9187364_00086
390,03807803a9187364,03807803a9187364_00087
391,03807803a9187364,03807803a9187364_00088
392,03807803a9187364,03807803a9187364_00089
393,03807803a9187364,03807803a9187364_00090
394,03807803a9187364,03807803a9187364_00091
395,03807803a9187364,03807803a9187364_00092
396,03807803a9187364,03807803a9187364_00093
397,03807803a9187364,03807803a9187364_00094
398,03807803a9187364,03807803a9187364_00095
399,03807803a9187364,03807803a9187364_00096
400,03807803a9187364,03807803a9187364_00097
401,03807803a9187364,03807803a9187364_00098
