country,n_chunks,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25
Israel,664,0.12754043216306926,0.011992893855810278,-0.0029798320181484757,-0.015111083838579153,-0.009164260095610546,0.0006937650027678026,-0.015656281713895864,0.0011579295875746311,0.03320849487623863,0.005152913371164294,-0.006153325031171188,-0.006964155625282401,-0.003024726494053964,-0.03062134583079625,-0.01284341776366931,-0.003376739702464325,0.011761076833107622,-0.007445519707631557,-0.011418145040594675,0.002614956523792664,0.00019667084390857716,-0.0022840382297188875,0.0005030619065606953,-0.004801032877993234,-0.00800387962743716
Italy,302,0.16016118790155467,0.02514087572563633,-0.003487806759155158,-0.02352383162096445,0.011708459095625607,6.594756745946998e-05,-0.014401844847097656,-0.0007163931261605079,0.00310025487367149,0.004009096951144352,0.003986143327823096,-0.008009436215696619,-0.037556230979906235,-0.009605330565018737,-0.005265522543598,-0.005169948560003451,-0.0095717138563319,-0.016538994344736054,-0.024878079628515338,0.011530854572940008,-0.009680805887874741,-0.0018818282470194634,0.004858469491239718,0.015435897755487342,0.005615108455093555
Japan,1739,0.13975611674674304,0.031213564412090597,-0.010101693464591303,0.00856458161197751,0.015893198732808245,-0.0016238157382784484,0.03550016901799458,-0.004982661680773006,-0.013682945810806915,-0.002592855191382097,0.00848275812034586,-0.009962235028602651,-0.0018003499277286074,-0.053234662886222625,0.022864728988092112,-0.04184693130491462,-0.034684390135255,0.013353350995748305,-0.022526344602305355,-0.02853511352425995,-0.004092376107409695,0.016646145843813753,-0.0017571474312331001,-0.014825302598006757,-0.03737997003734122
Kazakhstan,90,0.07417719699849062,-0.010645296324359926,0.000336616853912333,-0.02192343905546868,-0.023559549207742208,0.0015190945361593597,-0.031423749248165836,0.0027719107787557273,0.01752449279363749,0.006373518033365213,-0.010594845726025834,-0.006978557975854393,-0.03151212740043779,-0.0361195791799126,-0.01367961089153831,0.00790194741954007,-0.009576123261704556,0.012761425606076965,-0.0005236640224754562,0.0017322870110418548,-0.00870051839520932,0.004738579177296321,0.00806501431397482,0.014357860785246538,0.009209687667062762
Kenya,332,0.1335808732180258,0.018810543320287212,0.018858949044334203,-0.02969472384163559,-0.01272204216538604,0.0026621164197389783,-0.08626621501226024,-0.0016230055767912051,-0.04815980532269048,0.007242073492501502,0.010479462230208058,0.004618876447049442,0.03359940969405967,0.017303203548685774,0.011829007416494272,-0.010936882253226728,0.01858111679409257,-0.0018644997968877098,0.00024344287674727959,0.020233245512586293,0.004096443190478141,-0.03194893110186638,-0.02138349963990519,-0.0175624443272237,-0.009532026034564744
Korea (Republic of),273,0.1267544694674369,0.023622275662950602,-0.003170645181176002,0.005284417029054271,-0.01617489683032521,0.0013005613123855879,-0.03545046222781056,0.0006798968563893542,-0.009389895732784875,-0.004142313598587988,0.01597287568532786,0.00423352119062372,-0.03053441796432541,0.0015213861336999689,-0.007517797433354214,-0.0025725819499039463,0.00602029060917017,-0.00707780564771559,0.014330460613041112,0.012039948298850136,0.003928012405428651,-0.01589593540164834,-0.0316368327033654,-0.018600019903293994,-0.010716876004672613
Latvia,338,0.1168376245155883,0.012063261401016634,0.011131986777156055,-0.046562621574916196,0.0034794178774970354,0.0017723695446567834,-0.061528951664463344,-0.002663650038205193,-0.03157035175334621,0.004804652370039916,0.000784172096627493,-0.014581263651623929,0.011836388047764594,-0.0094805588574672,0.008787439174312711,-0.012219555226811986,-0.006429877805830785,-0.005563797048925945,-0.019577427780052233,0.005749962478860173,-0.0036064765544931332,0.00527514196617444,0.0010659613893893784,0.01054327743075722,0.024468719916855407
Lithuania,17,0.26839957318969987,0.08631935495346606,-0.02064051051057616,0.09613405894068222,-0.027742023797258597,-0.0008216127468773385,0.013850695004598573,0.005655470787216791,0.09115755979359683,0.0051351599007904355,0.02849984003764076,-0.05668195602028853,-0.02212747387175049,0.05106991435774291,-0.01087720624342863,-0.003973864806892342,0.040792247697376494,-0.009658395172187998,0.010005800820161143,0.013185646254628074,-0.0069639016532274875,0.00028417871445730034,-0.00013119181132716668,0.010856901841038505,-0.009896495633952859
Luxembourg,29,0.20290716525660643,0.055963375454242854,-0.007988568822260993,0.046409328703211024,-0.007244629728551631,-0.0003737428191033436,-0.00417788122212702,-0.0010063863359512802,-0.0389772830892253,0.0004559548560518554,0.010193833093301193,0.012734308466798584,-0.02979215649862947,0.04147503394095906,-0.01247225143516079,0.00717564509733236,-0.004728754711435228,-0.012839641388016442,-0.009215251467992786,0.01045845085950856,0.00045200232432191976,-0.011699299841994262,-0.005996146832151154,0.0005978439850161427,0.0006350865366369699
Malaysia,9,0.1307008308714734,0.042965801554789004,-0.005527451352302694,0.06565944131313689,-0.03419640082137907,0.000681458115100689,-0.019134404372843996,0.0038410541493450576,-0.02104309080337511,0.0017685882909408482,0.009959697951159465,-0.001980948333950433,-0.026189316421869432,0.034753764036797696,-0.011394379313002205,0.010814102709584546,-0.013373676632807967,0.01729673357774126,0.01674902373843183,0.00025758081805292085,-0.007143859145835364,-0.002969264420423073,-0.022339677302709266,-0.0009193209867444004,-0.004862596673993077
