country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
G7,0.0001368915085483352,0.0004869193372412168,9.528822775762344e-06,0.001329675663181475,0.00025838983513350243,4.3234994971435477e-07,0.0004535000043344887,1.610125662956444e-06,0.0004190701814922732,2.133365324777815e-05,0.0008327410084203675,0.00011487147687811265,0.00427276318720107,0.0030302273681340167,6.4840183095377926e-06,5.418502067321647e-06,0.0009160866043100654,2.498138071900657e-05,0.0006863246842625919,0.0002466346858612502,1.178844955617908e-05,0.0007538003865794233,0.00031875627147924355,7.865638514826443e-06,0.00012142666963841666
Germany,0.003948827928580577,0.0010499963332264463,0.00016076603328061038,0.004509313072862837,0.001177263448993354,8.051480102374736e-06,0.0029174942938547843,0.0017191882101237118,0.0021943086935325893,5.618899907424486e-05,0.00026909865259688073,0.00246278805614404,0.001195498970777596,0.0019582250632141944,0.0004910682553431635,0.0010508086720186637,0.0011537590558540107,0.0005217148486643201,0.0008032095687559916,0.0003842601169639312,0.00045609786259802337,0.0005026026369251926,0.00024964657770915185,0.0008022976063962647,0.001463818183547268
Global Partnership on Artificial Intelligence,0.0004026234954503124,7.842731186354654e-05,1.2753179139863802e-05,0.0024897475106173098,0.0016338403552620458,9.506402740540912e-07,5.471186110541456e-05,7.89315494386473e-05,0.0011670227151612017,0.0001405788772808773,8.685759940610387e-05,0.00026026317572374697,0.00046676072788680734,0.0002799313525168286,0.00015142487057259513,0.00011522194750234695,0.0001279873235809705,0.000325705316829713,0.00014726824462762565,0.000394995803150597,7.497001497015476e-05,0.00037911583099157066,0.00010049107099811465,0.0003713915048967483,0.0004423125526491244
Greece,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,0.002173471028696375,0.000888898806397752,1.1905996407878326e-05,4.5926032610215615e-05,0.0018651020986104798,6.832941203311094e-06,0.0025224803660666645,9.454848608849528e-05,0.009186594349853892,1.8494785506571982e-06,5.5346329809047465e-05,7.694167411426689e-07,0.0021101258013617023,5.502578100707143e-05,0.0012366736887223118,0.00022314154078335004,1.9954737987861836e-06,0.0009493502954262603,0.00023361935439571816,0.002019000618221359,0.0006988637843376717,0.0022314504167053662,9.435569492922358e-05,0.0036120164737466535,0.00038312225606759265
Iceland,0.00015040689931578082,1.9947220407711556e-05,1.9247331465268864e-06,0.018248323948821435,0.01361450509069915,3.5700159345879184e-05,0.010905681140072029,4.451691619610331e-05,0.0004213705127155997,5.020046567818331e-05,0.0020633104076088716,0.00203149528469617,0.000806114322227811,0.0003209664102864774,0.001750537246927385,0.008098648338406383,0.0019265029913128626,0.00044205238035419244,0.0007471401685695044,0.00030220765289713005,2.1267564356601844e-05,0.0011428752265004879,2.062909116890021e-05,0.00013741057405184236,8.743992448903461e-07
India,0.0024774393994325614,0.0008414710527948646,0.00011547128196055685,0.010039920008448859,0.0032480043624987715,7.941087811100412e-06,0.0023200615427805622,0.00011334719438916209,0.0021187656140557046,0.00024090465195263558,0.0005378817999270252,0.00318844109996584,0.0013818141312048554,0.0009500647243657797,0.0003167600052523483,0.0012904079173652288,0.0008524556034010875,0.00021707262570808656,0.0007746977389616558,0.00023764369424524078,0.00026302142146842684,0.00031033929076043463,0.0007184729356514956,0.0004802729749595375,0.0003953347837032161
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,0.0030083407373889767,0.0007732956754884919,0.00010167175182214387,0.003660111039985398,0.0013177287548933395,9.207540871342062e-06,0.005007392181367113,2.6129406219823912e-05,0.00026813920172317,0.00013158527258583054,0.00020171767321503997,0.0011837666185505419,0.004574313925911364,0.0010101400793396408,0.001276992477475277,0.0005286990997595623,0.0005437893381471437,9.648309026426154e-05,0.0016885637987946007,0.0005129920379995901,0.00017031290314948482,0.0004959395614123329,0.00021431820510349277,0.0004014451220750316,0.003722641747753554
Israel,0.0022695917077546045,0.0007765863517524673,3.472232574789416e-05,0.0004761235728881062,0.0011736547543589485,6.052443646923895e-06,0.002490021135184678,3.792714974164644e-05,0.003143248434826007,0.00017250918407371306,0.000517016982726361,0.00045495719282010594,0.0019175093571249463,0.0004182361288730238,0.0008410696130803065,0.0009908859605905387,0.0009423399959796225,0.0006406846872270855,0.0005081345208899983,0.0007282789471559845,0.0002201037787446275,0.0006077107102785373,0.0005439414325294037,0.00044566741058361167,0.0003941766526103449
