doc_id,chunk_id,sentence_text,sentence_index_in_chunk,d_lemma,d_surface,d_class,d_polarity,d_method,i_head_lemma,i_phrase_text,i_has_conj,i_method,c_texts,c_types,c_cues,c_count,b_text,b_cue,b_found,a_raw_text,a_head,a_class,a_method,a_is_conjoined,o_local_present,o_local_text,o_local_type,o_local_cue,statement_type_candidate
0202754ecda31003,138,(ii) Information is written in a manner to ensure access to the information stored in a tamper-proof and accurate manner that is guaranteed to be faithful to the originally recorded information and that ensures that no data or information may be deleted or changed;,0,may,may,permission,positive,modal_aux,delete|change,deleted|changed,True,modal_head,,,,0,data,sentence,True,no data or information,datum,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,139,MDIA | TAS | Programme Guidelines (iii) Processes are in place to ensure timely access to this information by the Applicant in a manner that can be demonstrated to be faithful to the original events and data which were recorded on the Forensic Node.,0,can,can,permission,positive,modal_aux,demonstrate,demonstrated,False,modal_head,,,,0,data,sentence,True,that,that,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,139,It is recognised that an IDPS may apply for Sandbox Residency before it makes sense to set up a Forensic Node due to lack of data availability or due to limitations in the initial technology setup.,1,may,may,permission,positive,modal_aux,apply,apply,False,modal_head,before it makes sense to set up a Forensic Node due to lack of data availability or due to limitations in the initial technology setup|for Sandbox Residency,trigger_clause|prep_phrase,before|for,2,data,sentence,True,an IDPS,idps,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,140,"In such cases, it is still required of the Applicant to provide information on how the above requirements will be achieved once the Forensic Node is set up.",0,require,required,obligation,positive,deontic_predicate,,,False,predicate_xcomp,In such cases,prep_phrase,in,1,,,False,it,it,explicit,nsubjpass,False,False,,,,other_low_confidence
022171a37cc70085,145,The group agreed on this draft at its tenth meeting on 5 May 2021.,0,may,May,permission,positive,lexical_fallback,,,False,predicate_xcomp,,,,0,,,False,The group,group,explicit,nsubj,False,False,,,,other_low_confidence
022171a37cc70085,174,"Based on the framework, a regularly updated database of tools for trustworthy AI will be built and made accessible to all via OECD.AI .",0,,,,,,build|make,built|made,True,strategy_root,,,,0,tools,sentence,True,"Based on the framework , a regularly updated database of tools for trustworthy AI",database,explicit,nsubjpass,False,False,,,,strategy_candidate
022171a37cc70085,193,"Cette initiative vise notamment à contribuer à garantir que les systèmes d'IA respectent les droits de l'homme et les principes d'équité, de transparence et d'explicabilité, de robustesse, de sécurité, de sûreté et de responsabilité et ce dans différents contextes.",0,,,,,,notamment,notamment,False,strategy_root,,,,0,,,False,,,implicit,no_subject,False,False,,,,strategy_candidate
022171a37cc70085,196,This means that the framework can also be used to compare tools in different use contexts.,1,can,can,permission,positive,modal_aux,use,used,False,modal_head,,,,0,tools,sentence,True,the framework,framework,explicit,nsubjpass,False,False,,,,norm_candidate
022171a37cc70085,198,"The framework will serve as the basis for developing an interactive, publicly available database on the OECD.AI Policy Observatory.",0,,,,,,serve,serve,False,strategy_root,,,,0,,,False,The framework,framework,explicit,nsubj,False,False,,,,strategy_candidate
022171a37cc70085,199,The database will enable policy makers and practitioners to qui ckly identify practical and actionable information on tools that match their contexts and requirements.,0,,,,,,enable,enable policy makers and practitioners,False,strategy_root,,,,0,tools,sentence,True,The database,database,explicit,nsubj,False,False,,,,strategy_candidate
