country,n_docs,n_statements,n_norm,other_low_confidence,n_rule,n_strategy,dclass_obligation,dclass_permission,dclass_prohibition,pct_a_explicit,pct_a_inferred,pct_a_conjoined,mean_c_count,pct_b_found,pct_o_local_present,pct_i_conjoined,pct_a_raw_present,pct_b_text_present,pct_c_text_present,statements_per_doc,n_strategy_share,n_norm_share,n_rule_share,rule_to_norm_ratio,rule_to_strategy_ratio,n_strong_deontic,strong_deontic_share,n_weak_deontic,weak_deontic_share
Ireland,8,2189,661,83,11,1434,273,454,28,0.8359981726815897,0.0,0.09821836455002284,0.2553677478300594,0.30470534490634993,0.011420740063956145,0.1516674280493376,0.8359981726815897,0.30470534490634993,0.2224760164458657,273.625,0.6550936500685245,0.30196436729100046,0.005025125628140704,0.01664145234493192,0.007670850767085077,28,0.012791228871630882,,
New Zealand,8,701,481,27,6,187,274,206,34,0.8944365192582026,0.0,0.05706134094151213,0.46219686162624823,0.2724679029957204,0.011412268188302425,0.17403708987161198,0.8944365192582026,0.2724679029957204,0.3309557774607703,87.625,0.26676176890156916,0.6861626248216833,0.008559201141226819,0.012474012474012475,0.03208556149732621,34,0.04850213980028531,,
Chile,8,615,220,29,3,363,104,142,6,0.7772357723577236,0.0,0.14146341463414633,0.25853658536585367,0.3056910569105691,0.00975609756097561,0.1772357723577236,0.7772357723577236,0.3056910569105691,0.22764227642276422,76.875,0.5902439024390244,0.35772357723577236,0.004878048780487805,0.013636363636363636,0.008264462809917356,6,0.00975609756097561,,
OECD,8,573,379,29,11,154,84,321,14,0.8987783595113438,0.0,0.06108202443280977,0.2757417102966841,0.3787085514834206,0.020942408376963352,0.2111692844677138,0.8987783595113438,0.3787085514834206,0.2443280977312391,71.625,0.268760907504363,0.6614310645724258,0.019197207678883072,0.029023746701846966,0.07142857142857142,14,0.02443280977312391,,
Czech Republic,7,671,191,19,5,456,84,115,16,0.767511177347243,0.0,0.11922503725782414,0.36065573770491804,0.26825633383010433,0.019374068554396422,0.16095380029806258,0.767511177347243,0.26825633383010433,0.29806259314456035,95.85714285714286,0.6795827123695977,0.2846497764530551,0.007451564828614009,0.02617801047120419,0.010964912280701754,16,0.02384500745156483,,
Slovenia,7,463,150,29,7,277,42,138,6,0.8207343412526998,0.0,0.09287257019438445,0.3023758099352052,0.23758099352051837,0.02159827213822894,0.16414686825053995,0.8228941684665226,0.23758099352051837,0.2570194384449244,66.14285714285714,0.5982721382289417,0.32397408207343414,0.01511879049676026,0.04666666666666667,0.02527075812274368,6,0.012958963282937365,,
Egypt,7,418,195,7,2,214,85,114,5,0.8397129186602871,0.0,0.09808612440191387,0.3038277511961722,0.3349282296650718,0.004784688995215311,0.19617224880382775,0.8397129186602871,0.3349282296650718,0.26555023923444976,59.714285714285715,0.5119617224880383,0.4665071770334928,0.004784688995215311,0.010256410256410256,0.009345794392523364,5,0.011961722488038277,,
Thailand,6,1938,1211,65,40,622,862,398,56,0.848297213622291,0.0,0.17079463364293085,0.30082559339525283,0.2218782249742002,0.034055727554179564,0.17647058823529413,0.848297213622291,0.2218782249742002,0.2549019607843137,323.0,0.32094943240454077,0.6248710010319918,0.02063983488132095,0.03303055326176713,0.06430868167202572,56,0.02889576883384933,,
Argentina,6,1580,770,67,57,686,327,529,38,0.8512658227848101,0.0,0.11139240506329114,0.47025316455696203,0.3329113924050633,0.04746835443037975,0.189873417721519,0.8512658227848101,0.3329113924050633,0.36645569620253166,263.3333333333333,0.4341772151898734,0.4873417721518987,0.036075949367088606,0.07402597402597402,0.08309037900874636,38,0.024050632911392405,,
Korea (Republic of),6,651,286,26,8,331,127,180,13,0.8187403993855606,0.0,0.11213517665130568,0.3425499231950845,0.3317972350230415,0.027649769585253458,0.23195084485407066,0.8187403993855606,0.3317972350230415,0.30261136712749614,108.5,0.5084485407066052,0.4393241167434716,0.01228878648233487,0.027972027972027972,0.02416918429003021,13,0.019969278033794162,,
Romania,6,597,140,8,4,445,35,114,3,0.6867671691792295,0.0,0.12897822445561138,0.3333333333333333,0.2629815745393635,0.018425460636515914,0.16415410385259632,0.6867671691792295,0.2629815745393635,0.2730318257956449,99.5,0.7453936348408711,0.23450586264656617,0.006700167504187605,0.02857142857142857,0.008988764044943821,3,0.005025125628140704,,
Russia,6,223,59,10,3,151,35,28,9,0.6905829596412556,0.0,0.15695067264573992,0.4484304932735426,0.4170403587443946,0.03139013452914798,0.242152466367713,0.6905829596412556,0.4170403587443946,0.336322869955157,37.166666666666664,0.6771300448430493,0.2645739910313901,0.013452914798206279,0.05084745762711865,0.019867549668874173,9,0.04035874439461883,,
Costa Rica,5,1848,868,233,79,668,572,559,49,0.8176406926406926,0.0,0.05844155844155844,0.6488095238095238,0.06601731601731602,0.05248917748917749,0.14826839826839827,0.8181818181818182,0.06601731601731602,0.43073593073593075,369.6,0.36147186147186144,0.4696969696969697,0.04274891774891775,0.09101382488479262,0.11826347305389222,49,0.026515151515151516,,
Latvia,5,706,363,29,3,311,235,149,11,0.7747875354107648,0.0,0.12889518413597734,0.4518413597733711,0.415014164305949,0.007082152974504249,0.17422096317280453,0.7747875354107648,0.415014164305949,0.35127478753541075,141.2,0.4405099150141643,0.5141643059490085,0.00424929178470255,0.008264462809917356,0.00964630225080386,11,0.015580736543909348,,
United Arab Emirates,5,335,73,13,2,247,29,56,3,0.8507462686567164,0.0,0.06567164179104477,0.2865671641791045,0.14925373134328357,0.014925373134328358,0.11343283582089553,0.8507462686567164,0.14925373134328357,0.2507462686567164,67.0,0.7373134328358208,0.21791044776119403,0.005970149253731343,0.0273972602739726,0.008097165991902834,3,0.008955223880597015,,
Global Partnership on Artificial Intelligence,5,161,59,7,0,95,15,51,0,0.8757763975155279,0.0,0.06832298136645963,0.21739130434782608,0.2795031055900621,0.0,0.08695652173913043,0.8757763975155279,0.2795031055900621,0.20496894409937888,32.2,0.5900621118012422,0.36645962732919257,0.0,0.0,0.0,0,0.0,,
Kenya,4,1150,541,58,8,543,235,348,24,0.8573913043478261,0.0,0.1,0.24869565217391304,0.31217391304347825,0.023478260869565216,0.13652173913043478,0.8573913043478261,0.31217391304347825,0.2165217391304348,287.5,0.4721739130434783,0.47043478260869565,0.006956521739130435,0.014787430683918669,0.014732965009208104,24,0.020869565217391306,,
Bulgaria,4,884,302,58,8,516,194,167,7,0.8020361990950227,0.0,0.1504524886877828,0.34502262443438914,0.4264705882352941,0.014705882352941176,0.13122171945701358,0.8020361990950227,0.4264705882352941,0.2907239819004525,221.0,0.583710407239819,0.3416289592760181,0.00904977375565611,0.026490066225165563,0.015503875968992248,7,0.007918552036199095,,
Switzerland,4,766,445,55,18,248,236,238,44,0.8433420365535248,0.0,0.08093994778067885,0.37597911227154046,0.35900783289817234,0.031331592689295036,0.12924281984334204,0.8433420365535248,0.35900783289817234,0.31592689295039167,191.5,0.3237597911227154,0.5809399477806788,0.02349869451697128,0.04044943820224719,0.07258064516129033,44,0.057441253263707574,,
Vietnam,4,651,311,33,6,301,56,277,17,0.8310291858678955,0.0,0.15514592933947774,0.29185867895545314,0.2872503840245776,0.01228878648233487,0.19047619047619047,0.8310291858678955,0.2872503840245776,0.25499231950844853,162.75,0.46236559139784944,0.47772657450076805,0.009216589861751152,0.01929260450160772,0.019933554817275746,17,0.026113671274961597,,
Tunisia,4,470,375,41,28,26,257,130,57,0.8489361702127659,0.0,0.08936170212765958,0.5531914893617021,0.4,0.06170212765957447,0.1595744680851064,0.8574468085106383,0.4,0.43829787234042555,117.5,0.05531914893617021,0.7978723404255319,0.059574468085106386,0.07466666666666667,1.0769230769230769,57,0.12127659574468085,,
Ukraine,4,435,297,23,14,101,140,176,18,0.8528735632183908,0.0,0.08275862068965517,0.3425287356321839,0.5701149425287356,0.0367816091954023,0.19080459770114944,0.8528735632183908,0.5701149425287356,0.30114942528735633,108.75,0.23218390804597702,0.6827586206896552,0.03218390804597701,0.04713804713804714,0.13861386138613863,18,0.041379310344827586,,
Uruguay,4,335,134,17,1,183,76,72,4,0.7910447761194029,0.0,0.19402985074626866,0.33134328358208953,0.4388059701492537,0.0029850746268656717,0.11940298507462686,0.7910447761194029,0.4388059701492537,0.2955223880597015,83.75,0.5462686567164179,0.4,0.0029850746268656717,0.007462686567164179,0.00546448087431694,4,0.011940298507462687,,
Luxembourg,4,132,46,4,0,82,13,35,2,0.8863636363636364,0.0,0.08333333333333333,0.3333333333333333,0.32575757575757575,0.007575757575757576,0.13636363636363635,0.8863636363636364,0.32575757575757575,0.29545454545454547,33.0,0.6212121212121212,0.3484848484848485,0.0,0.0,0.0,2,0.015151515151515152,,
Rwanda,4,76,48,2,3,23,16,36,1,0.8947368421052632,0.0,0.15789473684210525,0.4605263157894737,0.6842105263157895,0.07894736842105263,0.15789473684210525,0.8947368421052632,0.6842105263157895,0.34210526315789475,19.0,0.3026315789473684,0.631578947368421,0.039473684210526314,0.0625,0.13043478260869565,1,0.013157894736842105,,
Uzbekistan,4,19,1,2,0,16,0,3,0,0.42105263157894735,0.0,0.3157894736842105,0.5789473684210527,0.5263157894736842,0.0,0.3157894736842105,0.42105263157894735,0.5263157894736842,0.42105263157894735,4.75,0.8421052631578947,0.05263157894736842,0.0,0.0,0.0,0,0.0,,
