country,cluster_id,pca1,pca2,pca3,pca4,pca5,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,governance_density_index,normative_orientation_index
Indonesia,0,1.561413546646385,1.1827976432280964,-0.4198491231285606,0.7717782670105974,-1.1367436649212568,-0.774455653751077,0.1892928634847261,-0.3731941646180864,1.2695666554559886,-0.4703054937539679
Ireland,0,1.919194359384972,1.3442697328896394,1.0567440189945398,-0.2739734114007962,-0.6620182999293827,-0.6751247822335243,1.044860039603384,-0.6896817871363724,0.29140372404587284,-0.3963929932478412
Israel,0,-0.4527846095009208,-0.3252320077506835,-1.0482358763543271,0.3457733288192597,0.4339868324330078,-0.07172907103969023,0.026644002260545255,0.7667671408024268,0.0014273791355498184,-0.1419782978253983
Italy,0,0.1404938696228631,-0.3784275629953564,-0.35573475130391774,-0.19965189595459915,0.472325942811193,-0.06412148626735902,-0.09647998357097234,0.22004701233009694,-0.22675675159182354,-0.12948891632027626
Japan,0,-2.695704945737009,0.04820360304254113,0.2314687924554271,1.2158554047577415,-0.3865764945537705,0.75290858861318,-0.7567369667015454,0.6320931406479248,0.5847144056634864,0.5643782545601967
Kazakhstan,0,-1.4387664237921143,-2.7882879334256376,-1.7453889392992616,-2.9223027457349895,-1.0259484591762447,1.2477121374873537,-0.28834081329116495,0.8524466442534573,-0.6364138086677539,-0.1566106668430567
Kenya,0,1.1809278783601462,0.53344893280512,1.5924555677486993,0.13421432667575556,-0.5551296337387296,-0.38804043536006455,0.12492570941478764,-0.6367502051082676,0.15929895364862703,-0.009082936988969429
Korea (Republic of),0,0.8618777234154413,-0.2218365522435323,-0.3981490489565643,0.31018155252217666,0.3201278962391233,-0.09415375111576951,0.30735695409534475,-0.19347427605636047,-0.3223059568347891,-0.2557351917725103
Latvia,0,1.307509856035268,0.21639843743039236,-1.2210203387758352,1.0743241244254784,0.8937509335029232,-0.8168032375824514,-0.034317898147372405,0.2803294291352523,-0.25123270320660235,-0.30303313349594546
Lithuania,0,1.5997221232396122,-0.016477642168533643,1.3219039519396945,0.9407251888805297,-1.0369077471906274,-0.48190006304347616,0.1431943609561497,-0.3058946512404711,-0.43222867616535227,-0.016643494970539147
Luxembourg,0,2.1006927679923106,0.32987976344857667,1.4442780551792005,-0.10730883012854947,0.44308775761141944,-0.9806893455436568,0.8744640940307464,-0.026889989554230234,-0.6126291653022403,-0.13133175229087488
Malaysia,0,3.0376217329049795,0.38292441646587233,0.6609683139766689,-1.561046007357364,-1.4510563949221265,,2.420226094028045,0.461268469572635,-0.7401192789257922,-0.5592803243487762
Malta,0,-0.29825303053998203,0.3597141434221908,1.112924042408295,-0.33218818045551585,0.49453725352952693,-0.05387385214356004,-0.061973169979698234,-0.13997934030145007,0.13157431527100785,0.2143040819978278
Mauritius,0,-2.1057040171441868,-2.131606309379988,-1.3547841485722965,-2.2735274620802555,-0.3906837633662606,0.9757616347571256,-1.362216380696082,0.48646787958424903,0.4167224125525646,0.18862384188108372
Mexico,0,-0.19003221139890877,0.18928998532012825,-0.5244698525715602,1.193507952663922,-0.3352298015929458,0.10638341781615442,-0.3626076898997376,-0.06630651353983434,0.10423916914293958,-0.24781432142531665
Morocco,0,2.455622598034283,0.2808258674366121,-2.111062183544757,-1.9420491455886473,2.284776482352455,-0.8203610328278645,1.1701182906499483,-0.08710967658021845,-0.7093302186497482,-0.571379901845486
Netherlands,0,-1.223521816927442,-1.2692471144498185,0.20461620170343509,-0.21391758989695422,-2.020900873655001,1.0130627396451461,-0.08995088229177085,0.3370074245811901,-0.02696253863676829,0.1533868637768501
New Zealand,0,-0.5006818620983834,-0.8646159388708967,1.468899332462282,-0.5269995190636366,1.8050403097174215,-0.2625595273626634,-0.9081267446673903,0.29477255006830144,-0.3308154263340693,0.5448744497241192
Nigeria,0,-4.794447549221026,-5.481013542158954,-3.434924876177471,-3.1474503534299783,4.528776469687381,1.4151258098352837,-2.182661258639967,1.1058377892888545,-0.56937994466773,0.5189702295955905
Norway,0,-0.9549474167119543,0.3372140696748289,0.9390605162280856,1.9606525284505771,-0.39930686030028717,-0.07610522466873125,-0.5347836253995414,0.4423082238334117,0.4214628353534076,0.5733204583528845
OECD,0,-0.2317166235603222,-0.7320287325346883,1.89097418231683,1.326307347668707,0.6771167532560921,-0.013107990389446874,-0.8980727381319252,-0.1767794957447935,-0.3843396543237418,0.48898347670909464
Peru,0,1.4907624453309722,1.3394111180666861,-1.0441081453055034,1.6109949747022934,-0.48486096770281845,-0.4828932394008309,0.40041032322822956,-0.4850920241872771,0.17162848526357974,-0.7213067003169602
Poland,0,0.9417308560964992,-0.8960981072238509,-0.8896605382941587,-1.0692818357233969,-2.191557036519343,0.301708829816393,1.0132561045938844,0.23137462772852027,-0.5154393401919686,-0.6185988547227133
Portugal,0,1.9961238991357568,0.9384907668973157,-0.6049730370437872,0.711234258845276,-0.6588941871348484,-0.44035293501056444,0.9355525761408259,-0.5922674529350969,-0.1340183954156171,-0.6896287413660369
Romania,0,2.8320041017189226,1.0039532618552336,-1.8185923552515273,-0.9893615927230447,-0.6695462228070201,-0.4927939059392578,1.4989939529722556,-0.9304124893834453,-0.35100866967114336,-1.2258321248226967
Russia,0,1.276196234706443,-0.38734965912537034,-3.4480680115487066,0.8459577873468395,-0.2865999397603987,0.46314910297337786,1.1556848002135427,-0.061110286316481466,-0.5498015326488567,-1.1555844715269614
Rwanda,0,-1.8147943915718758,-2.9140821619864674,-1.13153878688847,4.5704512427892094,-2.654821838949886,1.4751943304123794,-0.7277313963296854,1.3083497868310139,-0.6550927946354904,0.40674914086192104
Saudi Arabia,0,-2.0021281306118603,-1.0868532349559545,-0.5286762675445416,3.83348353970163,-0.010921570847152121,0.48305510590779605,-1.1773661594171556,1.2246221815291416,0.055726337400075265,0.6047642476582132
Serbia,0,1.2661216565000892,0.30573963654034325,-1.7289906849330277,-1.2503984529079626,-0.24567851084625847,-0.27122563690873125,1.0376756069073192,0.05340144784320647,-0.08569404971056271,-0.6043626746451001
Singapore,0,0.03639341484428832,0.23897820319656315,1.3627001116450623,-0.12271654334680199,0.055100952428024305,-0.05560308267316029,-0.17404684844540644,-0.3922515561556663,-0.0008111396555895803,0.17881042777037834
Slovakia,0,1.9200100907293236,0.4272450767995002,0.8829208644053081,-0.0607565648244117,-1.6601704368134063,-0.4272615246015439,1.4959665530965616,-0.15931883011992573,0.0714773189434782,-0.46774177476827616
Slovenia,0,1.42447530361192,-0.034900358227515325,0.4512601271353508,-1.1364270140369186,-0.8331715876560468,-0.007129748137679718,0.7590950353201518,-0.6675886656113514,-0.4300349087229152,-0.4646804317978999
Spain,0,-0.7808468104189312,0.5775050832437253,-0.37390023087174784,-1.933865825036525,0.5772460938029235,-0.23676318228408993,0.23994562636537356,0.5045934830535099,0.4944394770755786,0.10856436481266767
Sweden,0,0.4617466082761993,-0.25841777333719357,0.9267613052183453,-0.2508707049775893,0.5026455741796103,-0.3754692909225521,-0.6051417714339238,-0.20635479009126217,-0.32638913143843057,0.26199861662786667
Switzerland,0,-0.8495902957600683,-1.243691642866623,0.5653079282103424,0.30403675391078205,-0.5378477020973741,0.7142526916568421,-0.6214740397878431,0.07808105104698014,-0.13188021892223062,0.12311036565429206
Thailand,0,-0.24794341696814443,-0.09511452523976541,0.3767982284582273,-0.6747309435120178,-0.3386454899694993,0.30622038246680794,-0.6356078096425402,-0.623154434222021,0.361775365764989,0.32748266061516146
Tunisia,0,-5.07098322443609,-4.880374593641819,-1.3424492250347,0.24047794425633645,-0.000492813636195932,2.9024536206760008,-1.9715074827697938,1.0420167168679693,-0.35633083111226665,0.5348648526025369
Türkiye,0,1.8788594365310363,2.5899971777581006,-0.8352490053830299,-1.19130739911629,-0.47402076808503946,-0.878726146023826,2.2627815711129444,-0.1618774493280804,1.4808722252618864,-0.5551351165519927
Uganda,0,1.5235195174237026,0.12775074038093523,5.351892567788211,-0.6715336688028021,1.1895836979882606,-0.4105135297410753,0.264867812341671,-1.1497863988365375,-0.719709353910678,0.40461903593391035
Ukraine,0,-1.2900893972639833,-1.8049837803547018,0.15256703312993006,3.329652256492481,-0.5070595330492114,0.8466432177734531,-1.0820246617696225,0.48077357336389565,-0.38287059944554797,0.32972681268132503
United Arab Emirates,0,2.3851232715213255,0.5090152467640029,1.5675586529931937,-2.518547959407405,-0.8480945697075125,-0.5284363028791488,1.4583572489172598,-0.8343455162302607,-0.4820802816317978,-0.5193055796805998
United Nations,0,0.3959255723654615,-0.3802145367075003,1.1702074386720296,-0.3712281474045439,0.8607904936550821,-0.1407129053209934,-1.1988456476095233,-0.6047658665644792,-0.17882537392310938,0.17156945357529887
Uruguay,0,2.476145926146048,0.7295105715393634,-0.8382296661780732,1.5518962889538752,-0.009309946754828735,-0.9508967323809568,0.49756072135955304,-0.08453295712829322,-0.4586985089692088,-0.45814818800571966
Uzbekistan,0,4.706655375431507,1.9504097004764689,-9.507859695642459,2.2460820680073095,1.5966006821309526,-1.2643624945052199,1.9853731073720218,-0.10580415231996554,-0.698314703063977,-2.74685554813345
Vietnam,0,1.3920678445155106,0.3046932589263923,0.268254926006723,0.013492269897221312,0.5340257672987909,-0.41056398713255315,0.07559799907530441,-0.5463661806601284,-0.2190823148744406,-0.14455034006762194
World Economic Forum,0,-0.8483393229534902,-1.59846520689979,0.7427876544589048,0.15457945652218907,0.688914319672967,0.20609480866100602,-0.9924245186420472,0.5271069357189493,-0.3842470320196975,0.5356913217839643
European Union,1,-7.26116804445758,4.259989379496362,-0.5619873437138203,0.15672505008277893,-0.0924256872230463,1.189807711320726,-1.1935056158017603,0.4872499788081417,2.4135296076226074,1.7778269019136437
United Kingdom,1,-3.9431745625909507,4.205108465592009,1.2315450614938634,0.6098716047552427,-0.7792254870679032,0.26125583763368415,-0.2059776319278136,-0.06075775534150209,2.0219162616476236,0.6657358050145333
United States,1,-9.49326550813828,11.908895521234614,-1.4679642545892961,-1.2369067480741667,0.49880725177625984,-0.15140569393178968,-0.812811328501516,-0.18872500092139616,4.872456052739814,2.5457590472621354
