country,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,governance_density_index,normative_orientation_index
Switzerland,0.7142526916568421,-0.6214740397878431,0.07808105104698014,-0.13188021892223062,0.12311036565429206
Vietnam,-0.41056398713255315,0.07559799907530441,-0.5463661806601284,-0.2190823148744406,-0.14455034006762194
Tunisia,2.9024536206760008,-1.9715074827697938,1.0420167168679693,-0.35633083111226665,0.5348648526025369
Ukraine,0.8466432177734531,-1.0820246617696225,0.48077357336389565,-0.38287059944554797,0.32972681268132503
Uruguay,-0.9508967323809568,0.49756072135955304,-0.08453295712829322,-0.4586985089692088,-0.45814818800571966
Luxembourg,-0.9806893455436568,0.8744640940307464,-0.026889989554230234,-0.6126291653022403,-0.13133175229087488
Rwanda,1.4751943304123794,-0.7277313963296854,1.3083497868310139,-0.6550927946354904,0.40674914086192104
Uzbekistan,-1.2643624945052199,1.9853731073720218,-0.10580415231996554,-0.698314703063977,-2.74685554813345
World Economic Forum,0.20609480866100602,-0.9924245186420472,0.5271069357189493,-0.3842470320196975,0.5356913217839643
Hungary,0.2489792884962098,0.4278501515432642,0.3718766988916679,-0.5221507379991034,-0.07416026143152477
Kazakhstan,1.2477121374873537,-0.28834081329116495,0.8524466442534573,-0.6364138086677539,-0.1566106668430567
Brazil,-1.2643624945052199,-0.5155205310275333,-0.039129285328097035,-0.649219152794413,-0.11914869653254496
Armenia,-1.2643624945052199,2.3603550306478676,-0.8324307298213829,-0.7230961381405233,-1.2143502698059214
Mauritius,0.9757616347571256,-1.362216380696082,0.48646787958424903,0.4167224125525646,0.18862384188108372
G7,-0.1900779067584644,-0.23804912005181617,-0.4169321158288356,0.1851204955898025,-0.043086680884459556
Slovakia,-0.4272615246015439,1.4959665530965616,-0.15931883011992573,0.0714773189434782,-0.46774177476827616
United Nations,-0.1407129053209934,-1.1988456476095233,-0.6047658665644792,-0.17882537392310938,0.17156945357529887
Iceland,2.815595335787658,-1.0619230897014489,1.2675379384002157,-0.18457945881659418,0.6200032199498543
Poland,0.301708829816393,1.0132561045938844,0.23137462772852027,-0.5154393401919686,-0.6185988547227133
Greece,-0.7598153789627713,0.6077657207917762,-1.126596975550541,-0.6938159718899967,-0.7798087753517894
Uganda,-0.4105135297410753,0.264867812341671,-1.1497863988365375,-0.719709353910678,0.40461903593391035
Indonesia,-0.774455653751077,0.1892928634847261,-0.3731941646180864,1.2695666554559886,-0.4703054937539679
Cyprus,-0.8480603094003998,0.2327119982500158,-0.44440800495680266,0.3151057868986246,-0.22473735038307266
Lithuania,-0.48190006304347616,0.1431943609561497,-0.3058946512404711,-0.43222867616535227,-0.016643494970539147
African Union,-0.4266238875668141,-2.1548268623817117,0.8146972181084635,-0.4826107747988788,1.1958600816671545
Council of Europe,-0.8725964989075536,-2.1905501516971198,0.8292599065098969,-0.5413898898713264,1.4965194290568242
Nigeria,1.4151258098352837,-2.182661258639967,1.1058377892888545,-0.56937994466773,0.5189702295955905
Croatia,2.382878374158093,-0.895709723950992,-0.5268027157446187,-0.6337570706994584,0.3496545272845471
Morocco,-0.8203610328278645,1.1701182906499483,-0.08710967658021845,-0.7093302186497482,-0.571379901845486
Malaysia,,2.420226094028045,0.461268469572635,-0.7401192789257922,-0.5592803243487762
