country,overall_n_docs,overall_n_statements,overall_statements_per_doc,overall_n_strategy_share,overall_n_norm_share,overall_n_rule_share,overall_rule_to_norm_ratio,overall_rule_to_strategy_ratio,overall_pct_a_explicit,overall_mean_c_count,overall_pct_b_found,overall_pct_o_local_present,overall_strong_deontic_share,edu_n_docs,edu_n_statements,edu_statements_per_doc,edu_n_strategy_share,edu_n_norm_share,edu_n_rule_share,edu_rule_to_norm_ratio,edu_rule_to_strategy_ratio,edu_pct_a_explicit,edu_mean_c_count,edu_pct_b_found,edu_pct_o_local_present,edu_strong_deontic_share,delta_strategy_share,delta_norm_share,delta_rule_share,delta_strong_deontic_share,delta_o_local_present,delta_statements_per_doc
Morocco,1,25,25.0,0.68,0.32,0.0,0.0,0.0,0.8,0.44,0.16,0.0,0.04,1.0,6.0,6.0,0.5,0.5,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,0.5,0.0,0.5,-0.18000000000000005,0.18,0.0,0.46,0.0,-19.0
Netherlands,11,1630,148.1818181818182,0.4294478527607362,0.4803680981595092,0.0331288343558282,0.0689655172413793,0.0771428571428571,0.8883435582822086,0.4049079754601227,0.3349693251533742,0.0398773006134969,0.0288343558282208,7.0,48.0,6.857142857142857,0.6875,0.3125,0.0,0.0,0.0,0.9791666666666666,0.8125,0.3541666666666667,0.0,0.0833333333333333,0.2580521472392638,-0.1678680981595092,-0.0331288343558282,0.0544989775051125,-0.0398773006134969,-141.32467532467533
New Zealand,8,701,87.625,0.2667617689015691,0.6861626248216833,0.0085592011412268,0.0124740124740124,0.0320855614973262,0.8944365192582026,0.4621968616262482,0.2724679029957204,0.0114122681883024,0.0485021398002853,5.0,25.0,5.0,0.36,0.48,0.0,0.0,0.0,0.88,0.28,0.88,0.0,0.08,0.09323823109843088,-0.20616262482168335,-0.0085592011412268,0.0314978601997147,-0.0114122681883024,-82.625
Nigeria,1,75,75.0,0.0133333333333333,0.9333333333333332,0.04,0.0428571428571428,3.0,0.8,0.76,0.1733333333333333,0.04,0.08,1.0,2.0,2.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.5,0.0,0.5,-0.0133333333333333,0.06666666666666676,-0.04,0.42,-0.04,-73.0
Norway,14,3349,239.2142857142857,0.340997312630636,0.6148103911615408,0.0173186025679307,0.028169014084507,0.0507880910683012,0.9011645267243952,0.3541355628545835,0.4720812182741117,0.0200059719319199,0.0238877276799044,9.0,136.0,15.11111111111111,0.2941176470588235,0.6617647058823529,0.0073529411764705,0.0111111111111111,0.025,0.8308823529411765,0.4558823529411764,0.5588235294117647,0.0147058823529411,0.3602941176470588,-0.0468796655718125,0.04695431472081213,-0.009965661391460202,0.33640638996715444,-0.0053000895789788,-224.10317460317458
OECD,8,573,71.625,0.268760907504363,0.6614310645724258,0.019197207678883,0.0290237467018469,0.0714285714285714,0.8987783595113438,0.2757417102966841,0.3787085514834206,0.0209424083769633,0.0244328097731239,4.0,22.0,5.5,0.6818181818181818,0.3181818181818182,0.0,0.0,0.0,0.8636363636363636,0.1818181818181818,0.6363636363636364,0.0,0.0454545454545454,0.4130572743138188,-0.34324924639060767,-0.019197207678883,0.0210217356814215,-0.0209424083769633,-66.125
Peru,12,2319,193.25,0.5269512721000431,0.3902544200086244,0.0077619663648124,0.0198895027624309,0.0147299509001636,0.723156532988357,0.3122035360068995,0.4540750323415265,0.0133678309616213,0.0198361362656317,7.0,77.0,11.0,0.5064935064935064,0.4415584415584415,0.0,0.0,0.0,0.7532467532467533,0.4415584415584415,0.6233766233766234,0.0129870129870129,0.2337662337662337,-0.02045776560653667,0.05130402154981706,-0.0077619663648124,0.213930097500602,-0.00038081797460840124,-182.25
Poland,2,168,84.0,0.6488095238095238,0.2976190476190476,0.0178571428571428,0.06,0.0275229357798165,0.7976190476190477,0.4523809523809524,0.3154761904761904,0.0297619047619047,0.0119047619047619,1.0,10.0,10.0,0.7,0.3,0.0,0.0,0.0,1.0,0.6,0.7,0.1,0.1,0.05119047619047612,0.0023809523809523725,-0.0178571428571428,0.0880952380952381,0.07023809523809531,-74.0
Portugal,11,1301,118.27272727272728,0.633358954650269,0.3182167563412759,0.0092236740968485,0.0289855072463768,0.0145631067961165,0.7671022290545734,0.288239815526518,0.377401998462721,0.016141429669485,0.0084550345887778,7.0,88.0,12.571428571428571,0.7045454545454546,0.2613636363636363,0.0113636363636363,0.0434782608695652,0.0161290322580645,0.8181818181818182,0.3068181818181818,0.5,0.0227272727272727,0.1022727272727272,0.07118649989518555,-0.05685311997763959,0.002139962266787799,0.09381769268394939,0.006585843057787699,-105.70129870129871
Romania,6,597,99.5,0.7453936348408711,0.2345058626465661,0.0067001675041876,0.0285714285714285,0.0089887640449438,0.6867671691792295,0.3333333333333333,0.2629815745393635,0.0184254606365159,0.0050251256281407,5.0,66.0,13.2,0.8939393939393939,0.0909090909090909,0.0151515151515151,0.1666666666666666,0.0169491525423728,0.6060606060606061,0.4090909090909091,0.2575757575757575,0.0454545454545454,0.0,0.14854575909852286,-0.1435967717374752,0.0084513476473275,-0.0050251256281407,0.0270290848180295,-86.3
